,company,n0_rec,n0_conf,n1_rec,n1_conf,n2_rec,n2_conf,n3_rec,n3_conf,n4_rec,n4_conf,n5_rec,n5_conf,n6_rec,n6_conf,n7_rec,n7_conf,n8_rec,n8_conf,n9_rec,n9_conf,n10_rec,n10_conf,n11_rec,n11_conf,n12_rec,n12_conf,n13_rec,n13_conf,n14_rec,n14_conf,n15_rec,n15_conf,n16_rec,n16_conf,n17_rec,n17_conf,n18_rec,n18_conf,n19_rec,n19_conf,n20_rec,n20_conf,n21_rec,n21_conf,n22_rec,n22_conf,n23_rec,n23_conf,n24_rec,n24_conf
0,ball,crown castle,0.8931591510772705,biogen,0.8927431106567383,cvs health,0.870624303817749,yum brands,0.8614439964294434,idexx laboratories,0.8095768690109253,abbvie,0.7750818729400635,alexandria real estate equities,0.7738319635391235,cognizant technology solutions,0.7185169458389282,netflix,0.7164547443389893,cerner,0.7124658823013306,walgreen boots alliance,0.7093128561973572,facebook,0.7063784599304199,twitter,0.697296142578125,centene,0.6960970759391785,sherwin williams,0.6906906366348267,pinterest,0.688287615776062,coca cola,0.6687978506088257,cigna,0.6646696329116821,bristol myers squibb,0.6586066484451294,dow,0.6560017466545105,vertex,0.6555617451667786,general motors,0.6409460306167603,activision blizzard,0.6396349668502808,eaton,0.6322965621948242,freeport mcmoran,0.6203809976577759
1,automatic data processing,aon,0.9477370977401733,allstate,0.9388874769210815,willis towers watson,0.9236980676651001,american,0.8554869890213013,workday,0.8481251001358032,aflac,0.8070725202560425,chubb ltd,0.7934030890464783,avalonbay communities,0.7855942845344543,monster beverage,0.7795538306236267,equity residential,0.7768301367759705,intuit,0.7511324882507324,prologis,0.7450985908508301,constellation brands,0.684865415096283,autodesk,0.6785711050033569,veeva systems,0.6751771569252014,d r horton,0.6613165736198425,progressive,0.6578822135925293,verisign,0.6499207019805908,cadence design systems,0.6482212543487549,ansys,0.6385530233383179,verisk analytics,0.6346753835678101,travelers companies,0.6254443526268005,capital one financial,0.6240054368972778,becton dickinson,0.6129806041717529,roku,0.609444260597229
2,verisign,cadence design systems,0.9783600568771362,palo alto networks,0.9696261286735535,veeva systems,0.9680140614509583,d r horton,0.9518129825592041,autodesk,0.9218332767486572,intuit,0.9092352390289307,docusign,0.8645150661468506,okta,0.7981997132301331,walt disney,0.7762762904167175,travelers companies,0.7114706039428711,splunk,0.707440197467804,american,0.7073889970779419,marvell technology group ltd,0.6969467401504517,prologis,0.6679242849349976,workday,0.6651580333709717,crowdstrike holdings,0.6621353626251221,automatic data processing,0.6499207019805908,willis towers watson,0.6232994198799133,aon,0.5553573369979858,us bancorp,0.5548877716064453,aflac,0.5541431903839111,allstate,0.5534628629684448,johnson controls,0.550922155380249,capital one financial,0.5309321880340576,chubb ltd,0.48879364132881165
3,ebay,walmart,0.946447491645813,kroger,0.9108021855354309,best buy,0.9090093970298767,starbucks,0.8950507640838623,dollar general,0.863891065120697,dollar tree,0.8152240514755249,mcdonalds,0.7946630120277405,home depot,0.7760562896728516,oracle,0.7748895287513733,carrier global,0.7458919286727905,costco wholesale,0.7412265539169312,union pacific,0.7011827230453491,sherwin williams,0.6609997153282166,valero,0.6479566097259521,fedex,0.6303516030311584,oreilly automotive,0.5849035978317261,nike,0.5813021659851074,colgate palmolive,0.5618448257446289,microsoft,0.5392400026321411,norfolk southern,0.5126451849937439,ross stores,0.5049461722373962,broadcom,0.43489211797714233,pinterest,0.43479791283607483,servicenow,0.4347738027572632,adobe,0.42560726404190063
4,alexandria real estate equities,activision blizzard,0.876770555973053,centene,0.8658463954925537,becton dickinson,0.8424126505851746,crown castle,0.8397889733314514,norfolk southern,0.8112629652023315,cognizant technology solutions,0.8034723997116089,cvs health,0.7887927293777466,colgate palmolive,0.7871049642562866,general motors,0.7839958071708679,yum china holdings,0.7825356721878052,walgreen boots alliance,0.7757583856582642,ball,0.7738319635391235,paccar,0.7472085952758789,sherwin williams,0.7443285584449768,cerner,0.7341879606246948,carrier global,0.7132304906845093,idexx laboratories,0.6914148330688477,ecolab,0.6821709871292114,linde,0.681174635887146,vertex,0.6781665086746216,edwards lifesciences,0.676476001739502,yum brands,0.6634082794189453,digital realty,0.6502946615219116,emerson electric,0.6461848616600037,freeport mcmoran,0.6425185799598694
5,yum brands,ball,0.8614439964294434,crown castle,0.837277889251709,walgreen boots alliance,0.7671489715576172,vf,0.7029121518135071,biogen,0.6803445816040039,cvs health,0.672439455986023,alexandria real estate equities,0.6634082794189453,sherwin williams,0.6620335578918457,coca cola,0.6542493104934692,idexx laboratories,0.6506020426750183,mastercard,0.6395645141601562,netflix,0.637281060218811,waste management,0.6368167400360107,visa,0.6310796737670898,cognizant technology solutions,0.6186501979827881,ecolab,0.6089985966682434,american express,0.5951952338218689,facebook,0.5882916450500488,lam research,0.5830776691436768,twitter,0.570981502532959,carrier global,0.5606091022491455,electronic arts,0.5585969686508179,abbvie,0.555709183216095,pinterest,0.5498929023742676,general motors,0.5494494438171387
6,becton dickinson,alexandria real estate equities,0.8424126505851746,centene,0.7984570264816284,edwards lifesciences,0.7883864045143127,ecolab,0.7470120787620544,activision blizzard,0.7464777231216431,colgate palmolive,0.7011504173278809,freeport mcmoran,0.6820646524429321,baxter,0.6712831854820251,cognizant technology solutions,0.6700924634933472,crown castle,0.6675369143486023,boston scientific,0.6663972735404968,norfolk southern,0.6656725406646729,intuitive surgical,0.6655711531639099,vertex,0.6650938391685486,zoetis,0.6619187593460083,motorola solutions,0.6456024646759033,archer daniels midland,0.6338590979576111,parker hannifin,0.6317493915557861,zimmer biomet holdings,0.626440167427063,linde,0.6248666644096375,exelon,0.6230218410491943,eversource,0.6153563261032104,cvs health,0.6149086356163025,avalonbay communities,0.6136568188667297,automatic data processing,0.6129806637763977
7,consolidated edison,public service enterprise,0.9760202169418335,american electric power,0.8676194548606873,electronic arts,0.8442094326019287,costar,0.7856210470199585,norfolk southern,0.7793766260147095,mcdonalds,0.7759840488433838,xcel,0.7661617994308472,exelon,0.7572927474975586,duke,0.7507694363594055,dominion,0.727819561958313,ross stores,0.7170964479446411,eversource,0.7045254111289978,valero,0.6790046691894531,sempra,0.633976399898529,idexx laboratories,0.6338026523590088,edison,0.6220948100090027,johnson controls,0.6187076568603516,dollar general,0.6121223568916321,sherwin williams,0.6037193536758423,colgate palmolive,0.5944069027900696,synopsys,0.58293616771698,alexandria real estate equities,0.5825515985488892,netflix,0.5806701183319092,emerson electric,0.5790743827819824,dupont de nemours,0.5721971392631531
8,aflac,chubb ltd,0.8947449922561646,prologis,0.8669028282165527,monster beverage,0.8508596420288086,willis towers watson,0.8466365337371826,allstate,0.8397746682167053,constellation brands,0.8326607942581177,aon,0.8081992864608765,automatic data processing,0.8070725202560425,progressive,0.7998857498168945,metlife,0.7919004559516907,american,0.7679667472839355,intuit,0.7570309638977051,hilton worldwide holdings,0.7474421262741089,ecolab,0.7199342846870422,workday,0.7176831960678101,roku,0.7140663862228394,waste management,0.7126762866973877,capital one financial,0.6945971250534058,equifax,0.6705957055091858,freeport mcmoran,0.6357185244560242,spotify technology,0.6319594383239746,us bancorp,0.6252470016479492,chipotle mexican grill,0.6246683597564697,cognizant technology solutions,0.6128092408180237,veeva systems,0.6079337000846863
9,hilton worldwide holdings,marriott,0.9012584686279297,ecolab,0.9000667333602905,aflac,0.7474421262741089,waste management,0.7447403073310852,anthem,0.7111046314239502,freeport mcmoran,0.710930585861206,cognizant technology solutions,0.7003244161605835,capital one financial,0.6768523454666138,prologis,0.650031566619873,spotify technology,0.6429413557052612,coca cola,0.6322531700134277,vf,0.6250410079956055,roku,0.6097654104232788,constellation brands,0.593211829662323,paypal holdings,0.5926315784454346,chubb ltd,0.5769962072372437,allstate,0.5692378878593445,square,0.5650088787078857,resmed,0.558154284954071,willis towers watson,0.5563870668411255,verisk analytics,0.5532376766204834,metlife,0.5530592203140259,paychex,0.546159565448761,centene,0.5378926992416382,yum brands,0.5316310524940491
