,company,n0_rec,n0_conf,n1_rec,n1_conf,n2_rec,n2_conf,n3_rec,n3_conf,n4_rec,n4_conf,n5_rec,n5_conf,n6_rec,n6_conf,n7_rec,n7_conf,n8_rec,n8_conf,n9_rec,n9_conf,n10_rec,n10_conf,n11_rec,n11_conf,n12_rec,n12_conf,n13_rec,n13_conf,n14_rec,n14_conf,n15_rec,n15_conf,n16_rec,n16_conf,n17_rec,n17_conf,n18_rec,n18_conf,n19_rec,n19_conf,n20_rec,n20_conf,n21_rec,n21_conf,n22_rec,n22_conf,n23_rec,n23_conf,n24_rec,n24_conf
0,ball,sysco,0.9769864082336426,exelon,0.9357441663742065,autozone,0.913708508014679,altria,0.8956009149551392,norfolk southern,0.8856668472290039,roper technologies,0.8256381750106812,mondelez,0.8157413005828857,carrier global,0.7782683372497559,dominion,0.7729721069335938,duke,0.7623260021209717,public service enterprise,0.747570812702179,pepsico,0.7128602862358093,waste management,0.7096624374389648,rockwell automation,0.6964497566223145,johnson controls,0.6766064167022705,ross stores,0.6764656901359558,automatic data processing,0.6731840372085571,freeport mcmoran,0.6729985475540161,workday,0.6714571118354797,resmed,0.6544002294540405,nextera,0.6425368785858154,yum brands,0.6341564655303955,berkshire hathaway,0.6285327672958374,dollar tree,0.6230849027633667,philip morris,0.6224591732025146
1,automatic data processing,transdigm,0.803989052772522,workday,0.7880315184593201,roper technologies,0.773998498916626,general motors,0.7727273106575012,exelon,0.7662996649742126,parker hannifin,0.7585407495498657,servicenow,0.7262898683547974,waste management,0.7109851837158203,schlumberger,0.6987895369529724,allstate,0.6963330507278442,nike,0.6942358613014221,sysco,0.6908649206161499,costar,0.6811876893043518,carrier global,0.6749844551086426,ball,0.6731839776039124,otis worldwide,0.665762186050415,ebay,0.6632204651832581,colgate palmolive,0.6615359783172607,sempra,0.6588050127029419,vertex,0.6576266884803772,public service enterprise,0.6478724479675293,resmed,0.6420736908912659,altria,0.6341333389282227,berkshire hathaway,0.6246148943901062,ringcentral,0.6153773069381714
2,ebay,baxter,0.852988600730896,becton dickinson,0.8301173448562622,truist financial,0.810528039932251,costar,0.7702423334121704,zimmer biomet holdings,0.7494945526123047,stryker,0.7481580972671509,roper technologies,0.731495201587677,carrier global,0.7068255543708801,vertex,0.7050833702087402,public service enterprise,0.6770285367965698,xcel,0.6754271388053894,medtronic,0.6705436706542969,boston scientific,0.6671261191368103,automatic data processing,0.6632204651832581,travelers companies,0.6524844765663147,berkshire hathaway,0.6455185413360596,transdigm,0.6407157778739929,teladoc health,0.6385777592658997,dexcom,0.6376345157623291,allstate,0.633030354976654,waste management,0.6229373216629028,servicenow,0.5872968435287476,nike,0.5866662859916687,sempra,0.56463623046875,wells fargo,0.5640265941619873
3,becton dickinson,baxter,0.9791642427444458,medtronic,0.9157509207725525,stryker,0.8602029085159302,zimmer biomet holdings,0.8358646035194397,ebay,0.8301173448562622,dexcom,0.8131232261657715,boston scientific,0.7673802971839905,abbott laboratories,0.7087970972061157,willis towers watson,0.6897085905075073,xcel,0.6732999682426453,edwards lifesciences,0.6579593420028687,vertex,0.655186653137207,truist financial,0.6545873880386353,teladoc health,0.65337073802948,danaher,0.6161035299301147,illumina,0.5858721733093262,costco wholesale,0.5695992708206177,intuitive surgical,0.5662002563476562,agilent technologies,0.547310471534729,carrier global,0.5389585494995117,chubb ltd,0.5363471508026123,okta,0.5345622897148132,berkshire hathaway,0.534511923789978,servicenow,0.5291065573692322,costar,0.5193033814430237
4,yum brands,prologis,0.848427414894104,msci,0.8334095478057861,american,0.8282293081283569,archer daniels midland,0.827833354473114,sempra,0.8257830142974854,ross stores,0.810688853263855,progressive,0.8101025223731995,oreilly automotive,0.8089613318443298,viacomcbs,0.801699697971344,constellation brands,0.7966259717941284,paccar,0.7961363792419434,metlife,0.7785094976425171,general electric,0.7780324816703796,linde,0.7758631110191345,aflac,0.7733761072158813,kimberly clark,0.7723871469497681,colgate palmolive,0.7722043991088867,public service enterprise,0.7676084041595459,eaton,0.7665201425552368,ringcentral,0.764202356338501,dupont de nemours,0.7600610256195068,waste management,0.7553046941757202,global payments,0.7524852752685547,edison,0.7482746839523315,johnson controls,0.7463991641998291
5,aflac,progressive,0.9041903614997864,prologis,0.890988826751709,eaton,0.8830966949462891,seagen,0.8508546352386475,general motors,0.833756148815155,paccar,0.8336156606674194,linde,0.8335390090942383,colgate palmolive,0.830837070941925,simon property,0.8214236497879028,vf,0.819995641708374,sempra,0.8167755603790283,hp,0.7920957803726196,american,0.7882240414619446,kinder morgan,0.7856689095497131,general electric,0.784255862236023,yum brands,0.7733761072158813,walgreen boots alliance,0.7602396011352539,constellation brands,0.7568158507347107,ringcentral,0.7528613805770874,kimberly clark,0.7450337409973145,msci,0.7348096966743469,archer daniels midland,0.7243666648864746,crowdstrike holdings,0.7212611436843872,eversource,0.7188804149627686,oreilly automotive,0.7179418802261353
6,hilton worldwide holdings,prudential financial,0.8136312961578369,kinder morgan,0.8042854070663452,chevron,0.8031609058380127,exxon mobil,0.773985743522644,oreilly automotive,0.7644182443618774,marathon petroleum,0.6897000074386597,general electric,0.6840015649795532,prologis,0.6611471772193909,conocophillips,0.6369566917419434,amgen,0.6279191970825195,schlumberger,0.6248105764389038,t rowe price,0.6035262942314148,simon property,0.6021437048912048,biogen,0.5934670567512512,marriott,0.5822684168815613,dupont de nemours,0.5794655084609985,linde,0.5793309807777405,hp,0.5722461342811584,ringcentral,0.5602796077728271,kimberly clark,0.5488437414169312,fedex,0.5418247580528259,eaton,0.5397025346755981,corteva,0.5393148064613342,valero,0.5338936448097229,peloton interactive,0.5316179990768433
7,linde,kimberly clark,0.9464070200920105,msci,0.9341616034507751,hp,0.9271543025970459,peloton interactive,0.890720546245575,walgreen boots alliance,0.8776878118515015,prologis,0.876228928565979,seagen,0.8744957447052002,eversource,0.8727462291717529,general electric,0.8713130950927734,archer daniels midland,0.8671194314956665,viacomcbs,0.8590245842933655,paccar,0.8572455048561096,vf,0.8481980562210083,aflac,0.8335389494895935,sempra,0.8332175016403198,digital realty,0.8312231302261353,constellation brands,0.8275881409645081,corteva,0.8255358934402466,sherwin williams,0.8140702247619629,ringcentral,0.8026605844497681,progressive,0.8018714785575867,dupont de nemours,0.8011908531188965,kinder morgan,0.7809817790985107,lululemon athletica,0.7803153395652771,yum brands,0.7758630514144897
8,accenture,travelers companies,0.8332847356796265,intercontinental exchange,0.7627871036529541,capital one financial,0.7605527639389038,dollar general,0.7549971342086792,bank of,0.7393247485160828,first republic bank,0.7287080883979797,allstate,0.6966633796691895,waste management,0.6393806338310242,oracle,0.6261513233184814,costar,0.6182620525360107,edison,0.6169403791427612,coca cola,0.6104196310043335,global payments,0.6077240109443665,paychex,0.5915086269378662,digital realty,0.5720627307891846,ball,0.5691929459571838,t rowe price,0.5661331415176392,american express,0.5506861209869385,visa,0.5481597781181335,international business machines,0.544683575630188,ross stores,0.5442972779273987,blackrock,0.5435683727264404,sysco,0.5432878732681274,kimberly clark,0.5354386568069458,workday,0.5253844261169434
9,roku,docusign,0.8172183632850647,micron technology,0.78133225440979,adobe,0.7764392495155334,lam research,0.7760558724403381,cadence design systems,0.759826123714447,autodesk,0.7578270435333252,electronic arts,0.7575902938842773,progressive,0.7567845582962036,intuit,0.7540343403816223,cognizant technology solutions,0.7526587843894958,ansys,0.7484264969825745,oracle,0.7469304203987122,paccar,0.7431021332740784,maxim integrated products,0.7412833571434021,crowdstrike holdings,0.7388533353805542,broadcom,0.7347604036331177,seagen,0.7346875667572021,skyworks solutions,0.7338886857032776,constellation brands,0.7336635589599609,corning,0.7307533025741577,keysight technologies,0.7275108695030212,apple,0.722256064414978,chipotle mexican grill,0.7179239988327026,bank of,0.716031551361084,synopsys,0.7153235673904419
